2.61194, 
2.54962, 
2.45926, 
2.43382, 
2.30769, 
2.33803, 
2.27972, 
2.32374, 
2.23944, 
2.21233, 
2.21678, 
2.19718, 
2.05263, 
2.06164, 
2.04, 
1.98065, 
2.01361, 
1.99346, 
1.925, 
1.92903, 
1.92258, 
1.92903, 
1.89375, 
1.87898, 
1.86875, 
1.87421, 
1.85093, 
1.82822, 
1.8239, 
1.83851, 
1.78049, 
1.78182, 
1.77844, 
1.74251, 
1.7193, 
1.70833, 
1.72024, 
1.68023, 
1.67442, 
1.70175, 
1.69822, 
1.70833, 
1.71951, 
1.68421, 
1.69412, 
1.67066, 
1.70303, 
1.71687, 
1.71166, 
1.75776, 
1.79487, 
1.8038, 
1.78231, 
1.80537, 
1.86986, 
1.85106, 
1.88889, 
1.83704, 
1.79528, 
1.87597, 
1.88189, 
1.84127, 
1.8595, 
1.78448, 
1.82203, 
1.79661, 
1.77586, 
1.76364, 
1.70755, 
1.65385, 
1.68571, 
1.58511, 
1.67347, 
1.66667, 
1.65979, 
1.71134, 
1.65217, 
1.69149, 
1.73, 
1.65217, 
1.54545, 
1.54878, 
1.64773, 
1.74468, 
1.75, 
1.75, 
1.66292, 
1.71739, 
1.71277, 
1.69565, 
1.7, 
1.73118, 
1.73684, 
1.7449, 
1.71717, 
1.72727, 
1.67, 
1.67327, 
1.64646, 
1.65049, 
1.66981, 
1.69091, 
1.66667, 
1.62385, 
1.58879, 
1.58182, 
1.6036, 
1.61261, 
1.62727, 
1.6036, 
1.61468, 
1.62963, 
1.63551, 
1.64151, 
1.64762, 
1.6699, 
1.70297, 
